ID,supplierName,contactPerson,email,phone,city,rating,isActive,createdAt,createdBy,modifiedAt,modifiedBy
26368286-78c0-400a-a8eb-a71af21a184c,supplierName-26368286,contactPerson-26368286,email-26368286,phone-26368286,city-26368286,4.4,true,2009-01-21T00:00:00.000Z,createdBy.fp5we@example.net,2014-09-21T00:00:00.000Z,modifiedBy.fp5we@example.net
3003316a-b61b-4c8d-9441-7b5b425f6352,supplierName-3003316,contactPerson-3003316,email-3003316,phone-3003316,city-3003316,9.2,true,2012-09-26T00:00:00.000Z,createdBy.1sddg@example.net,2014-03-31T00:00:00.000Z,modifiedBy.1sddg@example.net
30033172-c353-4e7a-858b-74b1ab0dfffd,supplierName-3003317,contactPerson-3003317,email-3003317,phone-3003317,city-3003317,2.2,false,2023-02-11T00:00:00.000Z,createdBy.1sddh@example.org,2019-01-11T00:00:00.000Z,modifiedBy.1sddh@example.com
3003318b-833e-402f-a3a3-188d86b64a1a,supplierName-3003318,contactPerson-3003318,email-3003318,phone-3003318,city-3003318,0.4,true,2008-05-15T00:00:00.000Z,createdBy.1sddi@example.org,2009-06-28T00:00:00.000Z,modifiedBy.1sddi@example.net
3003319e-82eb-477d-b7ec-646c543fb099,supplierName-3003319,contactPerson-3003319,email-3003319,phone-3003319,city-3003319,9.5,false,2010-04-18T00:00:00.000Z,createdBy.1sddj@example.net,2005-10-22T00:00:00.000Z,modifiedBy.1sddj@example.net
3003320d-8ce3-4040-9710-6bdf015992c4,supplierName-3003320,contactPerson-3003320,email-3003320,phone-3003320,city-3003320,6.7,true,2004-08-28T00:00:00.000Z,createdBy.1sddk@example.com,2011-05-28T00:00:00.000Z,modifiedBy.1sddk@example.org
30033210-cafc-4024-ba8f-19cddac8cd6b,supplierName-3003321,contactPerson-3003321,email-3003321,phone-3003321,city-3003321,5.6,false,2020-09-20T00:00:00.000Z,createdBy.1sddl@example.com,2013-02-04T00:00:00.000Z,modifiedBy.1sddl@example.org
3003322c-cb19-4cfc-830c-1e85399d105b,supplierName-3003322,contactPerson-3003322,email-3003322,phone-3003322,city-3003322,6.6,true,2003-05-19T00:00:00.000Z,createdBy.1sddm@example.com,2022-03-21T00:00:00.000Z,modifiedBy.1sddm@example.com
3003323a-e82d-42fc-a522-593be9eccd4f,supplierName-3003323,contactPerson-3003323,email-3003323,phone-3003323,city-3003323,4.7,false,2007-02-26T00:00:00.000Z,createdBy.1sddn@example.com,2015-09-17T00:00:00.000Z,modifiedBy.1sddn@example.com
30033248-95a8-4bb6-beb5-4e0dec7e728a,supplierName-3003324,contactPerson-3003324,email-3003324,phone-3003324,city-3003324,5.4,true,2017-04-29T00:00:00.000Z,createdBy.1sddo@example.com,2000-04-16T00:00:00.000Z,modifiedBy.1sddo@example.com
